TIPNR_ID	WIKIDATA_ID
Amariah_1Ch.23.19	
Amariah_2Ch.19.11	
Amariah_2Ch.31.15	
Amariah_Ezr.10.42	
Amariah_Neh.10.3	
Amariah_Neh.11.4	
Amariah_Zep.1.1	
Amasa_2Sa.17.25	Q2689456
Amasa_2Ch.28.12	Q2689456
Amasai_1Ch.6.25	
Amasai_1Ch.12.18	
Amasai_1Ch.15.24	
Amasai_2Ch.29.12	
Amasiah_2Ch.17.16	
Amaziah_2Ki.12.21	
Amaziah_1Ch.4.34	
Amaziah_1Ch.6.45	
Amaziah_Amo.7.10	
Ami_Ezr.2.57	
Amittai_2Ki.14.25	Q4746955
Ammiel_Num.13.12	
Ammiel_2Sa.9.4	
Ammiel_1Ch.26.5	
Ammihud_Num.1.10	Q85852675
Ammihud_Num.34.20	Q85852675
Ammihud_Num.34.28	Q85852675
Ammihud_2Sa.13.37	
Ammihud_1Ch.9.4	Q85852675
Amminadab_Exo.6.23	
Amminadab_1Ch.15.10	Q2038223
Amminadib_Sng.6.12	
Ammishaddai_Num.1.12	
Ammizabad_1Ch.27.6	
Amnon_2Sa.3.2	Q361636
Amnon_1Ch.4.20	Q361636
Amok_Neh.12.7	
Amon_1Ki.22.26	Q313423
Amon_2Ki.21.18	Q313423
Amorite_Gen.10.16	
Amos_Luk.3.25	Q213850
Amos_Amo.1.1	Q213850
Amoz_2Ki.19.2	Q4748020
Ampliatus_Rom.16.8	
Amram_Exo.6.18	Q477527
Amram_Ezr.10.34	Q477527
Amraphel_Gen.14.1	Q2844493
Amzi_1Ch.6.46	
Amzi_Neh.11.12	
Anah_Gen.36.2	
Anah_Gen.36.20	
Anah_Gen.36.24	
Anaiah_Neh.8.4	
Anaiah_Neh.10.22	
Anak_Num.13.22	Q1812268
Anamim_Gen.10.13	Q3294442
Anammelech_2Ki.17.31	
Anan_Neh.10.26	
Anani_1Ch.3.24	
Ananiah_Neh.3.23	
Ananias_Act.5.1	Q37946276
Ananias_Act.9.10	Q37946276
Ananias_Act.23.2	Q37946276
Anath_Jdg.3.31	
Anathoth_1Ch.7.8	
Anathoth_Neh.10.19	
Andrew_Mat.4.18	Q43399
Andronicus_Rom.16.7	
Aner_Gen.14.13	
Aniam_1Ch.7.19	
Anna_Luk.2.36	
Annas_Luk.3.2	
Anthothijah_1Ch.8.24	
Antipas_Rev.2.13	
Anub_1Ch.4.8	
Apelles_Rom.16.10	Q618161
Aphiah_1Sa.9.1	
Apollos_Act.18.24	
Appaim_1Ch.2.30	
Apphia_Phm.1.2	
Aquila_Act.18.2	Q46512139
